año,NCODI,inver_iIntangible,inver_IMaterial,inver_IMterrenos,inver_IMresto,inver_Otras,inver_Total
2017,7.9800000000000000e+02,67574,2511203,0,2511203,0,2578777
2017,5.0400000000000000e+02,17004,238984,0,238984,0,255988
2017,2.4700000000000000e+02,10116,386779,0,386779,0,396895
2017,2.1600000000000000e+02,39838,5387197,0,5387197,0,5427035
2017,6.5400000000000000e+02,0,782108,0,782108,0,782108
2017,6.5000000000000000e+01,0,110960,0,110960,0,110960
2017,4.7200000000000000e+02,16731,173955,0,173955,0,190686
2017,4.2700000000000000e+02,0,32424,0,32424,0,32424
2017,4.9100000000000000e+02,0,253018,0,253018,0,253018
2017,5.5100000000000000e+02,848,93407,0,93407,0,94255
2017,1.0600000000000000e+02,0,6261,0,6261,0,6261
2017,8.1900000000000000e+02,0,49471,0,49471,0,49471
2017,8.3600000000000000e+02,0,3000,0,3000,0,3000
2017,9.1500000000000000e+02,0,120438,0,120438,0,120438
2017,9.4200000000000000e+02,0,72000,0,72000,0,72000
2017,1.1400000000000000e+03,0,19935471,0,19935471,0,19935471
2017,7.4800000000000000e+02,0,1820722,0,1820722,0,1820722
2017,1.9800000000000000e+02,0,13108,0,13108,0,13108
2017,8.7100000000000000e+02,2015,436491,0,436491,0,438506
2017,9.4800000000000000e+02,0,776981,0,776981,0,776981
2017,1.0510000000000000e+03,0,2565,0,2565,0,2565
2017,1.0830000000000000e+03,0,0,0,0,0,0
2017,1.0960000000000000e+03,0,6710,0,6710,0,6710
2017,6.7900000000000000e+02,40951,0,0,0,815729,856680
2017,1.7600000000000000e+02,35336,467939,0,467939,21,503296
2017,5.3700000000000000e+02,0,322954,0,322954,0,322954
2017,6.0800000000000000e+02,0,0,0,0,0,0
2017,5.9600000000000000e+02,0,0,0,0,0,0
2017,7.4900000000000000e+02,0,3631115,0,3631115,0,3631115
2017,7.5800000000000000e+02,0,4748138,0,4748138,0,4748138
2017,1.1040000000000000e+03,,3843759,0,3843759,0,3843759
2017,5.6700000000000000e+02,0,475538,0,475538,0,475538
2017,6.7700000000000000e+02,0,1787211,0,1787211,0,1787211
2017,6.7000000000000000e+02,0,1814513,0,1814513,0,1814513
2017,5.8800000000000000e+02,0,1041027,0,1041027,0,1041027
2017,7.5300000000000000e+02,0,4767139,0,4767139,0,4767139
2017,8.8700000000000000e+02,0,849928,0,849928,0,849928
2017,2.4500000000000000e+02,23256,3065214,0,3065214,0,3088470
2017,6.0300000000000000e+02,80621,3029864,0,3029864,0,3110485
2017,4.2600000000000000e+02,17053,482470,0,482470,9361,508884
2017,2.3200000000000000e+02,0,320108,0,320108,0,320108
2017,2.8800000000000000e+02,99493,436487,0,436487,0,535980
2017,2.4600000000000000e+02,22242,1096823,,1096823,0,1119065
2017,2.8400000000000000e+02,16332,721695,0,721695,0,738027
2017,1.8000000000000000e+01,2165986,0,0,0,0,2165986
2017,3.5600000000000000e+02,0,374225,0,374225,0,374225
2017,4.0100000000000000e+02,817858,232247,0,232247,0,1050105
2017,7.3300000000000000e+02,55139,11474560,0,11474560,0,11529699
2017,2.4300000000000000e+02,4321,2736729,0,2736729,0,2741050
2017,3.8000000000000000e+02,0,1377502,0,1377502,0,1377502
2017,7.1600000000000000e+02,0,596491,0,596491,0,596491
2017,5.3400000000000000e+02,38506,2418317,0,2418317,0,2456823
2017,1.8500000000000000e+02,0,534497,0,534497,0,534497
2017,2.5800000000000000e+02,14643,1096855,573870,522985,0,1111498
2017,5.0500000000000000e+02,0,0,0,0,0,0
2017,2.6800000000000000e+02,0,1609826,929419,680407,0,1609826
2017,6.0200000000000000e+02,284963,1639663,0,1639663,442572,2367198
2017,2.5400000000000000e+02,8939,864375,0,864375,0,873314
2017,7.0500000000000000e+02,31841,2560543,0,2560543,0,2592384
2017,1.3300000000000000e+02,,255428,0,255428,0,255428
2017,3.3000000000000000e+01,0,0,0,0,0,0
2017,1.4300000000000000e+02,192841,257650,19770,237880,0,450491
2017,3.6000000000000000e+01,0,1030951,0,1030951,0,1030951
2017,7.5600000000000000e+02,0,3287393,0,3287393,0,3287393
2017,6.6200000000000000e+02,51103,477540,0,477540,0,528643
2017,1.9200000000000000e+02,0,484991,0,484991,0,484991
2017,3.8200000000000000e+02,7579,585516,0,585516,0,593095
2017,3.2200000000000000e+02,41187,9153851,651021,8502830,0,9195038
2017,4.7800000000000000e+02,0,1779483,0,1779483,0,1779483
